,Systolic,Diastolic,Label
0,109.0,77.0,1
1,116.0,73.0,1
2,124.0,80.0,3
3,123.0,75.0,2
4,136.0,81.0,3
5,124.0,70.0,2
6,111.0,76.0,1
7,130.0,79.0,3
8,118.0,76.0,1
9,123.0,83.0,3
10,123.0,72.0,2
11,127.0,81.0,3
12,100.0,76.0,1
13,115.0,77.0,1
14,117.0,71.0,1
15,135.0,79.0,3
16,98.0,68.0,1
17,118.0,74.0,1
18,123.0,74.0,2
19,118.0,83.0,3
20,122.0,72.0,2
21,118.0,70.0,1
22,104.0,77.0,1
23,109.0,75.0,1
24,111.0,70.0,1
25,110.0,66.0,1
26,126.0,71.0,2
27,126.0,81.0,3
28,112.0,82.0,3
29,122.0,77.0,2
30,121.0,82.0,3
31,129.0,76.0,2
32,120.0,70.0,2
33,108.0,67.0,1
34,111.0,78.0,1
35,123.0,78.0,2
36,108.0,76.0,1
37,115.0,72.0,1
38,106.0,70.0,1
39,115.0,77.0,1
40,106.0,67.0,1
41,122.0,77.0,2
42,128.0,81.0,3
43,111.0,69.0,1
44,132.0,77.0,3
45,115.0,83.0,3
46,109.0,77.0,1
47,124.0,78.0,2
48,123.0,74.0,2
49,123.0,76.0,2
50,118.0,73.0,1
51,131.0,79.0,3
52,103.0,71.0,1
53,115.0,75.0,1
54,137.0,78.0,3
55,131.0,71.0,3
56,131.0,75.0,3
57,109.0,80.0,3
58,128.0,70.0,2
59,111.0,76.0,1
60,129.0,75.0,2
61,134.0,75.0,3
62,102.0,77.0,1
63,114.0,71.0,1
64,133.0,79.0,3
65,134.0,76.0,3
66,116.0,69.0,1
67,110.0,80.0,3
68,108.0,84.0,3
69,121.0,76.0,2
70,118.0,74.0,1
71,130.0,79.0,3
72,127.0,75.0,2
73,119.0,77.0,1
74,132.0,72.0,3
75,117.0,70.0,1
76,111.0,76.0,1
77,123.0,81.0,3
78,125.0,77.0,2
79,134.0,84.0,3
80,120.0,76.0,2
81,125.0,77.0,2
82,112.0,79.0,1
83,119.0,76.0,1
84,114.0,76.0,1
85,143.0,77.0,4
86,115.0,77.0,1
87,133.0,69.0,3
88,112.0,77.0,1
89,111.0,74.0,1
90,118.0,68.0,1
91,147.0,74.0,4
92,122.0,78.0,2
93,124.0,68.0,2
94,123.0,78.0,2
95,135.0,75.0,3
96,131.0,76.0,3
97,107.0,74.0,1
98,109.0,82.0,3
99,112.0,70.0,1
100,113.0,67.0,1
101,128.0,75.0,2
102,110.0,80.0,3
103,118.0,69.0,1
104,109.0,78.0,1
105,118.0,76.0,1
106,128.0,79.0,2
107,113.0,70.0,1
108,127.0,65.0,2
109,119.0,71.0,1
110,133.0,78.0,3
111,129.0,72.0,2
112,121.0,68.0,2
113,120.0,75.0,2
114,112.0,70.0,1
115,125.0,76.0,2
116,118.0,69.0,1
117,115.0,75.0,1
118,146.0,79.0,4
119,119.0,76.0,1
120,127.0,71.0,2
121,122.0,71.0,2
122,126.0,78.0,2
123,125.0,73.0,2
124,115.0,79.0,1
125,128.0,85.0,3
126,117.0,75.0,1
127,127.0,85.0,3
128,136.0,85.0,3
129,133.0,79.0,3
130,112.0,74.0,1
131,113.0,77.0,1
132,125.0,73.0,2
133,131.0,78.0,3
134,117.0,78.0,1
135,111.0,78.0,1
136,114.0,72.0,1
137,120.0,80.0,3
138,120.0,69.0,2
139,130.0,78.0,3
140,131.0,73.0,3
141,119.0,80.0,3
142,118.0,75.0,1
143,118.0,73.0,1
144,121.0,76.0,2
145,122.0,80.0,3
146,117.0,74.0,1
147,139.0,71.0,3
148,115.0,73.0,1
149,126.0,65.0,2
150,113.0,75.0,1
151,121.0,80.0,3
152,112.0,78.0,1
153,125.0,72.0,2
154,114.0,71.0,1
155,118.0,80.0,3
156,129.0,71.0,2
157,117.0,70.0,1
158,115.0,77.0,1
159,122.0,69.0,2
160,126.0,73.0,2
161,115.0,74.0,1
162,126.0,75.0,2
163,130.0,74.0,3
164,95.0,72.0,1
165,135.0,76.0,3
166,101.0,80.0,3
167,109.0,74.0,1
168,125.0,74.0,2
169,118.0,76.0,1
170,119.0,74.0,1
171,127.0,78.0,2
172,123.0,69.0,2
173,100.0,78.0,1
174,98.0,76.0,1
175,122.0,73.0,2
176,132.0,76.0,3
177,122.0,68.0,2
178,116.0,74.0,1
